Category: All categories

Week,NRF51-DK: (Worldwide)
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,0
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,0
2013-10-13,0
2013-10-20,0
2013-10-27,0
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,0
2013-12-15,0
2013-12-22,0
2013-12-29,0
2014-01-05,0
2014-01-12,0
2014-01-19,0
2014-01-26,0
2014-02-02,0
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,0
2014-03-16,0
2014-03-23,0
2014-03-30,0
2014-04-06,0
2014-04-13,0
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,0
2014-05-25,0
2014-06-01,0
2014-06-08,0
2014-06-15,0
2014-06-22,0
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,0
2014-08-10,0
2014-08-17,0
2014-08-24,0
2014-08-31,0
2014-09-07,0
2014-09-14,0
2014-09-21,0
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,0
2014-10-26,43
2014-11-02,43
2014-11-09,42
2014-11-16,64
2014-11-23,85
2014-11-30,0
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,0
2015-01-04,41
2015-01-11,41
2015-01-18,40
2015-01-25,80
2015-02-01,39
2015-02-08,40
2015-02-15,81
2015-02-22,39
2015-03-01,39
2015-03-08,40
2015-03-15,40
2015-03-22,86
2015-03-29,40
2015-04-05,40
2015-04-12,40
2015-04-19,40
2015-04-26,46
2015-05-03,53
2015-05-10,60
2015-05-17,39
2015-05-24,40
2015-05-31,100
2015-06-07,40
2015-06-14,40
2015-06-21,80
2015-06-28,41
2015-07-05,41
2015-07-12,41
2015-07-19,41
2015-07-26,40
2015-08-02,60
2015-08-09,80
2015-08-16,77
2015-08-23,77
2015-08-30,77
2015-09-06,38
2015-09-13,38
2015-09-20,37
2015-09-27,37
2015-10-04,37
2015-10-11,37
2015-10-18,55
2015-10-25,74
2015-11-01,73
2015-11-08,37
2015-11-15,37
2015-11-22,37
2015-11-29,37
2015-12-06,57
2015-12-13,77
2015-12-20,41
2015-12-27,41
2016-01-03,36
2016-01-10,36
2016-01-17,36
2016-01-24,36
2016-01-31,69
2016-02-07,35
2016-02-14,35
2016-02-21,68
2016-02-28,34
2016-03-06,50
2016-03-13,67
2016-03-20,70
2016-03-27,35
2016-04-03,34
2016-04-10,34
2016-04-17,34
2016-04-24,34
2016-05-01,34
2016-05-08,34
2016-05-15,51
2016-05-22,70
2016-05-29,70
2016-06-05,35
2016-06-12,34
2016-06-19,35
2016-06-26,54
2016-07-03,72
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,35
2016-08-28,67
2016-09-04,67
2016-09-11,34
2016-09-18,33
2016-09-25,33
2016-10-02,33
2016-10-09,50
2016-10-16,31
2016-10-23,31
2016-10-30,31
2016-11-06,31
2016-11-13,31
2016-11-20,31
2016-11-27,31
2016-12-04,32
2016-12-11,33
2016-12-18,34
2016-12-25,32
2017-01-01,32
2017-01-08,31
2017-01-15,31
2017-01-22,30
2017-01-29,30
2017-02-05,30
2017-02-12,31
2017-02-19,31
